Customer Name;Customer Code;Rep Name;Rep Code;Previous Grading;Current Grading;New Grading Request;Brick Name;Brick Code;Town / City;Province;Sub Region;Suburb Name;Latitude;Longitude;Coordinate Source;Coordinate Confidence;Coordinate Match
ALPHA PHARM PHARMACY - RUSTENBURG;O0087672;ALFONSO MAGMAN;ACT01008;A;A;;MUIZENBERG;6049;CAPE TOWN;WESTERN CAPE;CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY;MUIZENBERG;-34.108200;18.468000;Area estimate;Area-level;MUIZENBERG centroid
ARIEFA'S PHARMACY;O0089479;ALFONSO MAGMAN;ACT01008;A;A;;GRASSY PARK;6032;CAPE TOWN;WESTERN CAPE;CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY;GRASSY PARK;-34.049400;18.502000;Area estimate;Area-level;GRASSY PARK centroid
ATHLONE PHARMACY;O0089169;ALFONSO MAGMAN;ACT01008;A;A;;ATHLONE;5850;CAPE TOWN;WESTERN CAPE;CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY;ATHLONE;-33.962720;18.501726;OSM place;Low;Athlone, Birdwood Street, Gleemoor, Cape Town Ward 49, Cape Town, City of Cape Town, Western Cape, 7770, South Africa
CAPE TOWN STATION PHARMACY;O0089092;ALFONSO MAGMAN;ACT01008;A;A;;CAPE TOWN;6157;CAPE TOWN;WESTERN CAPE;CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY;CAPE TOWN;-33.922607;18.426459;OSM place;Medium;Cape Town Station, Adderley Street, Cape Town Ward 115, Cape Town, City of Cape Town, Western Cape, 8001, South Africa
DIS-CHEM PHARMACY - ARTEM;O1917524;ALFONSO MAGMAN;ACT01008;A;A;;SEA POINT;6194;CAPE TOWN;WESTERN CAPE;CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY;SEA POINT;-33.918000;18.389500;Area estimate;Area-level;SEA POINT centroid
DIS-CHEM PHARMACY - BLUE ROUTE;O0297362;ALFONSO MAGMAN;ACT01008;A;A;;TOKAI;6075;CAPE TOWN;WESTERN CAPE;CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY;TOKAI;-34.061700;18.438300;Area estimate;Area-level;TOKAI centroid
DIS-CHEM PHARMACY - CULEMBORG;O0229462;ALFONSO MAGMAN;ACT01008;A;A;;FORESHORE;6165;CAPE TOWN;WESTERN CAPE;CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY;FORESHORE;-33.916700;18.432300;Area estimate;Area-level;FORESHORE centroid
DIS-CHEM PHARMACY - FORESHORE;O0409994;ALFONSO MAGMAN;ACT01008;A;A;;CAPE TOWN;6157;CAPE TOWN;WESTERN CAPE;CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY;CAPE TOWN;-33.924900;18.424100;Area estimate;Area-level;CAPE TOWN centroid
DIS-CHEM PHARMACY - HERMANUS;O0387857;ALFONSO MAGMAN;ACT01008;A;A;;SANDBAAI;11710;SANDBAAI;WESTERN CAPE;OVERBERG DISTRICT MUNICIPALITY;SANDBAAI;-34.421900;19.193200;Area estimate;Area-level;SANDBAAI centroid
DIS-CHEM PHARMACY - KENILWORTH CENTRE;O0410161;ALFONSO MAGMAN;ACT01008;A;A;;KENILWORTH;5820;CAPE TOWN;WESTERN CAPE;CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY;KENILWORTH;-33.994100;18.471500;Area estimate;Area-level;KENILWORTH centroid
DIS-CHEM PHARMACY - LIBERTY PROMENADE;O0373222;ALFONSO MAGMAN;ACT01008;A;A;;MITCHELLS PLAIN;5929;CAPE TOWN;WESTERN CAPE;CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY;MITCHELLS PLAIN;-34.048800;18.617300;Area estimate;Area-level;MITCHELLS PLAIN centroid
DIS-CHEM PHARMACY - NOORDHOEK;O0359091;ALFONSO MAGMAN;ACT01008;A;A;;SUN VALLEY;7796;CAPE TOWN;WESTERN CAPE;CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY;SUN VALLEY;-34.126900;18.399400;Area estimate;Area-level;SUN VALLEY centroid
DIS-CHEM PHARMACY - OTTERY CENTRE;O1866824;ALFONSO MAGMAN;ACT01008;A;A;;OTTERY;5987;CAPE TOWN;WESTERN CAPE;CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY;OTTERY;-34.015100;18.506100;Area estimate;Area-level;OTTERY centroid
DIS-CHEM PHARMACY - SEA POINT;O0313666;ALFONSO MAGMAN;ACT01008;A;A;;SEA POINT;6194;CAPE TOWN;WESTERN CAPE;CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY;SEA POINT;-33.910476;18.394699;OSM pharmacy;High;Dis-Chem, Main Road, Cape Town Ward 54, Cape Town, City of Cape Town, Western Cape, 8005, South Africa
